X,Y,id,
-71.095537,42.3610368,8614574,
-71.0954168,42.3618993,8614574,
-71.0953819,42.3621674,8614574,
-71.0953482,42.3624257,8614574,
-71.0952709,42.363098,8614574,
-71.095537,42.3610368,8614574,
-71.0953819,42.3621674,8614574,
-71.0953482,42.3624257,8614574,
-71.078329,42.3626289,8614583,
-71.0783089,42.3627178,8614583,
-71.0783067,42.3627878,8614583,
-71.0783137,42.3628568,8614583,
-71.0783233,42.3629337,8614583,
-71.0783341,42.3630053,8614583,
-71.078329,42.3626289,8614583,
-71.0783137,42.3628568,8614583,
-71.1163563,42.3677829,8614584,
-71.1159253,42.3677752,8614584,
-71.115714,42.3677714,8614584,
-71.1152853,42.3677637,8614584,
-71.1148905,42.3677566,8614584,
-71.1147167,42.3677535,8614584,
-71.1159253,42.3677752,8614584,
-71.1147167,42.3677535,8614584,
-71.0777224,42.3672248,8614821,
-71.0764049,42.3670669,8614821,
-71.0755568,42.3669652,8614821,
-71.0753513,42.3669388,8614821,
-71.0755568,42.3669652,8614821,
-71.0972971,42.3668222,8614825,
-71.0979075,42.3652089,8614825,
-71.0981006,42.3647016,8614825,
-71.0981248,42.3646402,8614825,
-71.0983715,42.3639782,8614825,
-71.0981006,42.3647016,8614825,
-71.0979075,42.3652089,8614825,
-71.0972971,42.3668222,8614825,
-71.0983715,42.3639782,8614825,
-71.1107353,42.3538569,8614829,
-71.1105878,42.3538012,8614829,
-71.1104925,42.3537695,8614829,
-71.1103895,42.3537439,8614829,
-71.1102848,42.3537227,8614829,
-71.1092564,42.3535396,8614829,
-71.109116,42.3535206,8614829,
-71.1089782,42.3535083,8614829,
-71.108832,42.353502,8614829,
-71.1084455,42.3535105,8614829,
-71.1084455,42.3535105,8614829,
-71.1107353,42.3538569,8614829,
-71.109036446158456,42.353513499040268,8614829,
-71.1107353,42.3538569,8614830,
-71.1109861,42.3546499,8614830,
-71.1110477,42.35462,8614830,
-71.1110952,42.354594,8614830,
-71.1111392,42.3545679,8614830,
-71.1111709,42.3545367,8614830,
-71.1112068,42.354486,8614830,
-71.1112432,42.3544314,8614830,
-71.1112674,42.3543706,8614830,
-71.1112719,42.3543146,8614830,
-71.1112615,42.3542517,8614830,
-71.1112421,42.354199,8614830,
-71.1111955,42.3541141,8614830,
-71.1111639,42.3540868,8614830,
-71.1111048,42.3540413,8614830,
-71.1109653,42.3539609,8614830,
-71.1108376,42.3539006,8614830,
-71.1107353,42.3538569,8614830,
-71.1106433,42.3538475,8614830,
-71.1105688,42.3538486,8614830,
-71.1105062,42.3538582,8614830,
-71.1104453,42.3538818,8614830,
-71.1103968,42.35391,8614830,
-71.1103602,42.3539455,8614830,
-71.1103259,42.353985,8614830,
-71.1109861,42.3546499,8614830,
-71.1103259,42.353985,8614830,
-71.0845714,42.3653212,8614841,
-71.084273,42.3652858,8614841,
-71.0827668,42.3650925,8614841,
-71.0827668,42.3650925,8614841,
-71.084273,42.3652858,8614841,
-71.0845714,42.3653212,8614841,
-71.1086485,42.3636406,8614844,
-71.107646,42.363017,8614844,
-71.1086485,42.3636406,8614844,
-71.0896646,42.3649006,8614848,
-71.089583,42.3648581,8614848,
-71.0894752,42.3648019,8614848,
-71.0893532,42.3647385,8614848,
-71.0892015,42.3646628,8614848,
-71.0886105,42.3644342,8614848,
-71.0884584,42.3643696,8614848,
-71.087608,42.3640086,8614848,
-71.0875057,42.3639652,8614848,
-71.0874023,42.3639211,8614848,
-71.087234,42.3638496,8614848,
-71.0851489,42.3629639,8614848,
-71.0845001,42.362702,8614848,
-71.0844255,42.3626697,8614848,
-71.0843498,42.3626283,8614848,
-71.084263,42.362566,8614848,
-71.0842315,42.3625431,8614848,
-71.0841004,42.3624543,8614848,
-71.0838672,42.3623055,8614848,
-71.0838319,42.3622883,8614848,
-71.0837957,42.3622689,8614848,
-71.0835402,42.3621725,8614848,
-71.0832944,42.3621415,8614848,
-71.083086,42.3621281,8614848,
-71.082956,42.362142,8614848,
-71.0827125,42.3621395,8614848,
-71.0822559,42.3621106,8614848,
-71.0797823,42.3619114,8614848,
-71.0843498,42.3626283,8614848,
-71.0797823,42.3619114,8614848,
-71.0832944,42.3621415,8614848,
-71.0875057,42.3639652,8614848,
-71.0894752,42.3648019,8614848,
-71.0896646,42.3649006,8614848,
-71.0851489,42.3629639,8614848,
-71.083585397800888,42.36218955310374,8614848,
-71.083264495660302,42.362139577168179,8614848,
-71.0788743,42.3623251,8614849,
-71.0788834,42.3622607,8614849,
-71.0788892,42.3621872,8614849,
-71.0788901,42.3621054,8614849,
