X;Y;id;highway
-71.0217637;42.3665527;4790718;footway
-71.0224961;42.3668798;4790718;footway
-71.022537;42.3669873;4790718;footway
-71.0366247;42.3734966;4790735;footway
-71.0367534;42.373314;4790735;footway
-71.0367892;42.3733349;4790735;footway
-71.0178919;42.3742782;4824114;
-71.0171727;42.3737415;4824114;
-71.0167483;42.3734247;4824114;
-71.0151162;42.3722068;4824114;
-71.0114765;42.3694907;4824114;
-71.0109898;42.3691274;4824114;
-71.0094871;42.3680064;4824114;
-71.0058661;42.3653037;4824114;
-71.0051586;42.3647756;4824114;
-71.004272;42.364114;4824114;
-71.0024464;42.3627514;4824114;
-71.0021466;42.3625276;4824114;
-71.0017709;42.3622472;4824114;
-70.9992943;42.3603988;4824114;
-70.9984019;42.3597327;4824114;
-70.9968697;42.3585891;4824114;
-70.99309;42.3557678;4824114;
-70.9922915;42.3551718;4824114;
-70.9915848;42.3546443;4824114;
-71.0128869;42.3557464;4824115;
-71.0095135;42.3563448;4824115;
-71.009208;42.356399;4824115;
-71.0027106;42.3575515;4824115;
-70.998984;42.3582125;4824115;
-70.9968697;42.3585891;4824115;
-70.9914313;42.3595522;4824115;
-70.9895771;42.3598811;4824115;
-70.988411;42.3600879;4824115;
-70.987701;42.3602139;4824115;
-71.0117953;42.3510507;4824116;
-71.0114639;42.351736;4824116;
-71.0105811;42.3535616;4824116;
-71.009208;42.356399;4824116;
-71.0084243;42.3580219;4824116;
-71.0072517;42.3604468;4824116;
-71.0069178;42.3611371;4824116;
-71.006525;42.3619494;4824116;
-71.0056628;42.3637322;4824116;
-71.0051586;42.3647756;4824116;
-71.0048194;42.3654762;4824116;
-71.0030778;42.3690784;4824116;
-71.0022114;42.3708685;4824116;
-71.0002272;42.3749707;4824116;
-70.9996599;42.3761435;4824116;
-70.9992944;42.376899;4824116;
-71.004497;42.3782965;4824117;
-71.0046098;42.378064;4824117;
-71.004802;42.3776677;4824117;
-71.0049687;42.377324;4824117;
-71.0051116;42.3770293;4824117;
-71.0056619;42.3758946;4824117;
-71.007404;42.3723021;4824117;
-71.0094871;42.3680064;4824117;
-71.0102812;42.3663688;4824117;
-71.010618;42.3656741;4824117;
-71.0108;42.3652967;4824117;
-71.0109689;42.3649505;4824117;
-71.0120007;42.3628223;4824117;
-71.01406;42.3585751;4824117;
-71.014377;42.3579135;4824117;
-71.0024424;42.3686049;4824118;
-71.0030778;42.3690784;4824118;
-71.0056052;42.3709622;4824118;
-71.007404;42.3723021;4824118;
-71.0082776;42.372954;4824118;
-71.0088482;42.3733793;4824118;
-71.0091131;42.3735767;4824118;
-71.111316;42.399507;8603122;residential
-71.111436;42.399444;8603122;residential
-71.111519;42.399344;8603122;residential
-71.112954;42.3972;8603122;residential
-71.0894333;42.3924028;8603359;residential
-71.088703;42.392941;8603359;residential
-71.088065;42.393429;8603359;residential
-71.087119;42.39409;8603359;residential
-71.0955215;42.3831757;8603503;residential
-71.0954541;42.3831349;8603503;residential
-71.0943797;42.3824837;8603503;residential
-71.0939551;42.3822361;8603503;residential
-71.0939042;42.3822063;8603503;residential
-71.0935382;42.3819657;8603503;residential
-71.0934003;42.3818751;8603503;residential
-71.0933165;42.3818108;8603503;residential
-71.0932382;42.38172;8603503;residential
-71.092824;42.3812634;8603503;residential
-71.0927115;42.3811514;8603503;residential
-71.0926471;42.3810888;8603503;residential
-71.0924575;42.3809194;8603503;residential
-71.0923768;42.3808589;8603503;residential
-71.0922679;42.3808077;8603503;residential
-71.0921738;42.3807741;8603503;residential
-71.0920368;42.3807394;8603503;residential
-71.091895;42.380724;8603503;residential
-71.0917734;42.3807264;8603503;residential
-71.0916541;42.3807355;8603503;residential
-71.0915514;42.3807576;8603503;residential
-71.091453;42.380787;8603503;residential
-71.091146;42.380902;8603503;residential
-71.090932;42.381;8603503;residential
-71.0955674;42.3796317;8604709;secondary
-71.0956969;42.3797118;8604709;secondary
-71.0957904;42.3797217;8604709;secondary
-71.1106062;42.3993875;8604726;secondary
-71.1105195;42.3993565;8604726;secondary
-71.1104419;42.3993278;8604726;secondary
-71.1103578;42.3992993;8604726;secondary
-71.1036438;42.3839018;8604730;residential
-71.104546;42.384238;8604730;residential
-71.093746;42.374253;8604746;residential
-71.09386;42.374701;8604746;residential
-71.094018;42.375226;8604746;residential
-71.094088;42.375508;8604746;residential
-71.094108;42.375592;8604746;residential
-71.094234;42.375782;8604746;residential
-71.094708;42.375808;8604746;residential
-71.095239;42.375868;8604746;residential
-71.0845922;42.3975702;8604752;primary_link
-71.0845905;42.3975014;8604752;primary_link
-71.084579;42.397445;8604752;primary_link
-71.0845642;42.3973886;8604752;primary_link
-71.0845638;42.3973252;8604752;primary_link
-71.0847724;42.3967266;8604752;primary_link
-71.0847839;42.3966716;8604752;primary_link
-71.0847765;42.3966308;8604752;primary_link
-71.0847453;42.3965956;8604752;primary_link
-71.0846692;42.3965448;8604752;primary_link
-71.0887349;42.3806101;8604756;secondary
-71.089075;42.380557;8604756;secondary
-71.0893816;42.3804384;8604756;secondary
-71.0895727;42.380363;8604756;secondary
-71.089631;42.38034;8604756;secondary
-71.0897497;42.3803006;8604756;secondary
-71.0899473;42.3802233;8604756;secondary
-71.09032;42.380056;8604756;secondary
-71.090653;42.379881;8604756;secondary
-71.1112586;42.3937825;8604762;tertiary
-71.1110743;42.3940359;8604762;tertiary
-71.110782;42.3944384;8604762;tertiary
-71.1107146;42.3945302;8604762;tertiary
-71.1102205;42.3952273;8604762;tertiary
-71.1098498;42.395764;8604762;tertiary
-71.109759;42.3958893;8604762;tertiary
-71.1092773;42.3965851;8604762;tertiary
-71.1089473;42.3970738;8604762;tertiary
-71.0962857;42.3883104;8604767;tertiary
-71.0957372;42.388142;8604767;tertiary
-71.095686;42.3881384;8604767;tertiary
-71.094733;42.3878444;8604767;tertiary
-71.0946002;42.3878016;8604767;tertiary
-71.0939963;42.3876206;8604767;tertiary
-71.0937676;42.3875513;8604767;tertiary
-71.0931906;42.3873776;8604767;tertiary
-71.0924876;42.387159;8604767;tertiary
-71.0921853;42.3870595;8604767;tertiary
-71.0919983;42.3870031;8604767;tertiary
-71.0914082;42.3868189;8604767;tertiary
-71.0908259;42.3866387;8604767;tertiary
-71.0906285;42.3865725;8604767;tertiary
-71.0904766;42.386526;8604767;tertiary
-71.0899106;42.3863502;8604767;tertiary
-71.0895421;42.3862299;8604767;tertiary
-71.1029555;42.3890727;8604785;residential
-71.102282;42.3888438;8604785;residential
-71.0755329;42.3705222;8604813;trunk
-71.0759287;42.3708229;8604813;trunk
-71.0761423;42.3709661;8604813;trunk
-71.0763655;42.3711056;8604813;trunk
-71.0764908;42.3711798;8604813;trunk
-71.0766269;42.3712544;8604813;trunk
-71.076771;42.371325;8604813;trunk
-71.076939;42.3713971;8604813;trunk
-71.0771155;42.3714679;8604813;trunk
-71.0775623;42.3716339;8604813;trunk
-71.0777611;42.3717095;8604813;trunk
-71.0782795;42.3719109;8604813;trunk
-71.078421;42.3719747;8604813;trunk
-71.0785542;42.3720377;8604813;trunk
-71.0791835;42.3723572;8604813;trunk
-71.0793707;42.3724522;8604813;trunk
-71.081994;42.37378;8604813;trunk
-71.1197678;42.3953965;8604814;secondary
-71.1203257;42.3956344;8604814;secondary
-71.1204735;42.3956994;8604814;secondary
-71.1219086;42.3963161;8604814;secondary
-71.122309;42.396489;8604814;secondary
-71.1103578;42.3992993;8604822;secondary
-71.1101272;42.3992236;8604822;secondary
-71.1100739;42.3992043;8604822;secondary
-71.109347;42.398942;8604822;secondary
-71.1086189;42.3986993;8604822;secondary
-71.1079708;42.3984975;8604822;secondary
-71.1198002;42.3923228;8604828;secondary
-71.1202116;42.3927717;8604828;secondary
-71.1202485;42.3928151;8604828;secondary
-71.1203145;42.3928925;8604828;secondary
-71.1203776;42.3929743;8604828;secondary
-71.1204874;42.3931591;8604828;secondary
-71.1208232;42.3937303;8604828;secondary
-71.120884;42.3938254;8604828;secondary
-71.099999;42.391894;8604840;residential
-71.099472;42.392585;8604840;residential
-71.099205;42.392958;8604840;residential
-71.099087;42.393123;8604840;residential
-71.1073193;42.3954757;8604845;residential
-71.1071422;42.3957312;8604845;residential
-71.106874;42.3961254;8604845;residential
-71.1065977;42.3965156;8604845;residential
-71.1064288;42.3967236;8604845;residential
-71.1138132;42.3860922;8604852;residential
-71.1135595;42.3864312;8604852;residential
-71.1133049;42.3867965;8604852;residential
-71.1132926;42.3868143;8604852;residential
-71.1131792;42.3869769;8604852;residential
-71.1128956;42.3873841;8604852;residential
-71.1126128;42.3877899;8604852;residential
-71.1122796;42.3882682;8604852;residential
-71.112005;42.3886623;8604852;residential
-71.1116822;42.3891296;8604852;residential
-71.1113563;42.3895934;8604852;residential
-71.1111464;42.3898947;8604852;residential
-71.110997;42.390109;8604852;residential
-71.096387;42.379635;8604858;secondary
-71.0963713;42.3795351;8604858;secondary
-71.096231;42.379108;8604858;secondary
-71.0961163;42.3787052;8604858;secondary
-71.096112;42.37869;8604858;secondary
-71.0961061;42.3786693;8604858;secondary
-71.096054;42.378486;8604858;secondary
-71.0958978;42.3779687;8604858;secondary
-71.0958888;42.3779391;8604858;secondary
-71.0958835;42.377919;8604858;secondary
-71.102282;42.3888438;8604870;residential
-71.1021167;42.3890947;8604870;residential
-71.0892879;42.3776952;8604879;secondary
-71.0893159;42.377515;8604879;secondary
-71.0893075;42.3774749;8604879;secondary
-71.0892675;42.3772848;8604879;secondary
-71.0941056;42.3790987;8604881;secondary
-71.0940479;42.379191;8604881;secondary
-71.0938516;42.3794665;8604881;secondary
-71.0937988;42.379519;8604881;secondary
-71.0920505;42.3794766;8604884;residential
-71.0920266;42.3793765;8604884;residential
-71.092001;42.379252;8604884;residential
-71.091969;42.378961;8604884;residential
-71.0919048;42.3784242;8604884;residential
-71.0918574;42.3782927;8604884;residential
-71.1087008;42.380187;8604962;secondary
-71.108757;42.3802311;8604962;secondary
-71.109095;42.380496;8604962;secondary
-71.109572;42.380889;8604962;secondary
-71.110844;42.381911;8604962;secondary
-71.110932;42.38197;8604962;secondary
-71.1244841;42.3969433;8604965;residential
-71.1245059;42.396997;8604965;residential
-71.124596;42.397219;8604965;residential
-71.1246305;42.3972864;8604965;residential
-71.124694;42.39746;8604965;residential
-71.124692;42.397542;8604965;residential
-71.124635;42.397662;8604965;residential
-71.123888;42.398176;8604965;residential
-71.116217;42.396647;8604974;residential
-71.116633;42.396045;8604974;residential
-71.099405;42.391321;8605024;residential
-71.099214;42.391575;8605024;residential
-71.099023;42.391828;8605024;residential
-71.098557;42.392441;8605024;residential
-71.098301;42.39281;8605024;residential
-71.097925;42.393299;8605024;residential
-71.097892;42.393343;8605024;residential
-71.097546;42.393791;8605024;residential
-71.097045;42.3944579;8605024;residential
-71.0940514;42.390829;8605053;residential
-71.095663;42.391399;8605053;residential
-71.1193798;42.391868;8605056;residential
-71.1185399;42.3928345;8605056;residential
-71.1183167;42.3931514;8605056;residential
-71.0937988;42.379519;8605061;secondary
-71.0937138;42.3795426;8605061;secondary
-71.0930609;42.3794973;8605061;secondary
-71.0924709;42.3794618;8605061;secondary
-71.0922994;42.3794642;8605061;secondary
-71.0922227;42.3794653;8605061;secondary
-71.0921827;42.3794659;8605061;secondary
-71.0920505;42.3794766;8605061;secondary
-71.0917024;42.3795336;8605061;secondary
-71.0914086;42.3796201;8605061;secondary
-71.090676;42.379868;8605061;secondary
-71.090653;42.379881;8605061;secondary
-71.106054;42.388634;8605077;residential
-71.105592;42.388471;8605077;residential
-71.0886;42.380671;8605079;secondary
-71.088501;42.380706;8605079;secondary
-71.0883258;42.380758;8605079;secondary
-71.1156992;42.3866507;8605084;residential
-71.115188;42.386875;8605084;residential
-71.0824267;42.3906657;8605089;primary
-71.082748;42.391789;8605089;primary
-71.0828944;42.392136;8605089;primary
-71.087559;42.380988;8605205;secondary
-71.0874767;42.3810091;8605205;secondary
-71.0870603;42.3811161;8605205;secondary
-71.086744;42.381193;8605205;secondary
-71.0862143;42.3813165;8605205;secondary
-71.0860637;42.3813443;8605205;secondary
-71.085675;42.381416;8605205;secondary
-71.0849675;42.3815195;8605205;secondary
-71.0845536;42.3815813;8605205;secondary
-71.0838914;42.381656;8605205;secondary
-71.083072;42.381777;8605205;secondary
-71.0823551;42.3819025;8605205;secondary
-71.0819487;42.3819704;8605205;secondary
-71.081517;42.382042;8605205;secondary
-71.0808776;42.3821495;8605205;secondary
-71.0806813;42.3821785;8605205;secondary
-71.0988672;42.3793891;8605207;secondary
-71.0986389;42.3794121;8605207;secondary
-71.1072517;42.3780823;8605208;secondary
-71.1070016;42.3781367;8605208;secondary
-71.1068378;42.3781737;8605208;secondary
-71.1064878;42.3782627;8605208;secondary
-71.1063731;42.3782853;8605208;secondary
-71.1091348;42.3978249;8605214;residential
-71.1089574;42.3980891;8605214;residential
-71.1087997;42.3983777;8605214;residential
-71.1086189;42.3986993;8605214;residential
-71.097416;42.374429;8605216;secondary
-71.097196;42.374703;8605216;secondary
-71.096888;42.375143;8605216;secondary
-71.09654;42.375644;8605216;secondary
-71.09623;42.37606;8605216;secondary
-71.09597;42.376449;8605216;secondary
-71.0955906;42.3769336;8605216;secondary
-71.0927809;42.3848506;8605218;secondary
-71.0926581;42.38468;8605218;secondary
-71.0926368;42.3846336;8605218;secondary
-71.0926379;42.3845939;8605218;secondary
