X,Y,id
1- -71.11114,42.35053,1000
2- -71.08964,42.35120,1000
3- -71.06966,42.35593,1000
3- -71.06966,42.35593,1001
4- -71.07078,42.36133,1001
4- -71.07078,42.36133,1002
5- -71.08170,42.36200,1002
8- -71.09980,42.36328,1002
5- -71.08170,42.36200,1003
6- -71.09312,42.35763,1003
10- -71.10864,42.35490,1003
11- -71.11038,42.35526,1003
11- -71.11038,42.35526,1004
1 - -71.11114,42.35053,1004
9- -71.10126,42.36411,1004
9- -71.10126,42.36411,1005
8- -71.09980,42.36328,1005
7- -71.09479,42.36015,1005
8- -71.09980,42.36328,1006
10- -71.10864,42.35490,1006
7- -71.09479,42.36015,1007
6- -71.09312,42.35763,1007
2- -71.08964,42.35120,1007
