X,Y,id
-46.598827925741446,-23.601777056812857,4331570
-46.598534,-23.6013657,4331570
-46.5990829,-23.6021339,4331570
-46.5992747,-23.6023035,4331570
-46.5999597,-23.6024089,4331583
-46.5995854,-23.6019507,4331583
-46.6133371,-23.6240341,4331584
-46.6147283,-23.6252744,4331584
-46.577704639378105,-23.65571430446747,4618805
-46.5771733,-23.6567007,4618805
-46.579656304615625,-23.652291513962567,4618805
-46.5788855,-23.6536068,4618805
-46.581772,-23.6485139,4618805
-46.5997607,-23.6049766,4618889
-46.599864361124858,-23.604753935370152,4618889
-46.5992768,-23.625568,4624561
-46.6003218,-23.6232977,4624561
-46.577411834287552,-23.655578662682831,4626465
-46.5788475,-23.6530426,4626465
-46.579348908584045,-23.652145561707108,4626465
-46.579364,-23.6521186,4626465
-46.5813871,-23.648505,4626465
-46.579353603526457,-23.65214779087523,8401361
-46.5820898,-23.6481483,8436947
-46.5835843,-23.6461014,8436947
-46.4653341,-23.5951381,14184478
-46.4653906,-23.5943949,14184478
-46.468148,-23.5984805,14184478
-46.4674685,-23.5978486,14184478
-46.4668782,-23.5973099,14184478
-46.4657451,-23.5962551,14184478
-46.4763173,-23.6118041,15575812
-46.4755161,-23.6112746,15575812
-46.4672547,-23.6014139,15576074
-46.4677426,-23.6025314,15576074
-46.4657146,-23.6089381,15576074
-46.4662029,-23.5988374,15576074
-46.4683541,-23.6036325,15576074
-46.4659905,-23.5950707,15576115
-46.5938891,-23.6534068,24054448
-46.5944213,-23.6538706,24054448
-46.5945071,-23.6516378,24054450
-46.5951422,-23.6519837,24054450
-46.5968874,-23.6531189,24054450
-46.5417857,-23.6237284,27016063
-46.5414469,-23.62464,27016064
-46.5412773,-23.6247218,27016064
-46.5410727,-23.6246838,27016065
-46.5409735,-23.6245867,27016066
-46.5426573,-23.602828,27016991
-46.542509,-23.6033843,27016991
-46.5449401,-23.6108455,27016992
-46.544911771447545,-23.610829483797509,27016992
-46.544769613412157,-23.610749111463473,27016992
-46.5446051,-23.6106561,27016992
-46.5455873,-23.6099111,27016993
-46.5462185,-23.6110273,27016993
-46.5459471,-23.6106432,27016993
-46.5458493,-23.6109987,27016994
-46.545859612932077,-23.610994335791695,27016994
-46.54570308080902,-23.610981094304375,27016995
-46.545380882463036,-23.610942299629254,27016995
-46.546588,-23.6112806,27016996
-46.5465594,-23.6110742,27016996
-46.5470892,-23.6111106,27016997
-46.5463013,-23.6115298,27016997
-46.5461273,-23.6120288,27016997
-46.5523816,-23.6099753,27016998
-46.5487383,-23.6112955,27016998
-46.547248,-23.6111069,27016998
-46.5497813,-23.6114147,27016998
-46.5508515,-23.6113698,27016998
-46.5519378,-23.610855,27016998
-46.546147779222473,-23.611758504379868,27016999
-46.5461984,-23.6113003,27016999
-46.5461681,-23.6114903,27016999
-46.5461777938472,-23.611503886503186,27017000
-46.546049393140017,-23.612593126023128,27017001
-46.545817360291252,-23.614268743138776,27017001
-46.545507243227625,-23.615599621697122,27017001
-46.5453479,-23.609624,27017003
-46.545456115544049,-23.609753777287782,27017003
-46.5446057,-23.6081957,27017004
-46.544571997970799,-23.608131769843077,27017004
-46.5476049,-23.6059401,27017006
-46.5376189,-23.6125557,27017006
-46.532277792942338,-23.614123885619264,27017006
-46.547857634272539,-23.60606724284801,27017007
-46.547947,-23.6061122,27017007
-46.5480133,-23.6061394,27017008
-46.5531801,-23.6098642,27017067
-46.5535162,-23.6100792,27017067
-46.5533605,-23.609579,27017068
-46.5498846,-23.6105913,27017205
-46.5499761,-23.6097996,27017205
-46.5502323,-23.6094701,27017207
-46.5500416,-23.6093437,27017207
-46.5498088,-23.6094303,27017207
-46.5499218,-23.6093551,27017207
-46.5497716,-23.6096512,27017207
-46.5497574,-23.6095475,27017207
-46.550225,-23.6096854,27017207
-46.550991,-23.6102091,27017209
-46.5489445,-23.6099756,27017212
-46.5473218,-23.6106304,27017212
-46.5476141,-23.6079203,27017214
-46.5474553,-23.6092809,27017214
-46.5464302,-23.6091867,27017217
-46.5481808,-23.609357,27017217
-46.5489732,-23.6094426,27017217
-46.546201565533856,-23.611257305435679,27017219
-46.5485212,-23.6085168,27017220
-46.5486745,-23.6086282,27017220
-46.5482133,-23.6083157,27017220
-46.5490877,-23.6089287,27017220
