X,Y,id,
-71.093746,42.374253,8604746,
-71.09386,42.374701,8604746,
-71.094018,42.375226,8604746,
-71.094088,42.375508,8604746,
-71.094108,42.375592,8604746,
-71.094234,42.375782,8604746,
-71.094708,42.375808,8604746,
-71.095239,42.375868,8604746,
-71.0755329,42.3705222,8604813,
-71.0759287,42.3708229,8604813,
-71.0761423,42.3709661,8604813,
-71.0763655,42.3711056,8604813,
-71.0764908,42.3711798,8604813,
-71.0766269,42.3712544,8604813,
-71.076771,42.371325,8604813,
-71.076939,42.3713971,8604813,
-71.0771155,42.3714679,8604813,
-71.0775623,42.3716339,8604813,
-71.0777611,42.3717095,8604813,
-71.0782795,42.3719109,8604813,
-71.078421,42.3719747,8604813,
-71.0785542,42.3720377,8604813,
-71.0791835,42.3723572,8604813,
-71.0793707,42.3724522,8604813,
-71.081994,42.37378,8604813,
-71.1395864,42.37225,8614612,
-71.1395194,42.3722546,8614612,
-71.1394548,42.3722608,8614612,
-71.1384245,42.3724972,8614612,
-71.1383653,42.372502,8614612,
-71.1382909,42.372499,8614612,
-71.1382205,42.3724791,8614612,
-71.138141,42.37245,8614612,
-71.1376869,42.3722745,8614612,
-71.137615,42.3722548,8614612,
-71.1375381,42.3722459,8614612,
-71.1374586,42.3722466,8614612,
-71.1373796,42.3722573,8614612,
-71.1373126,42.3722745,8614612,
-71.1372553,42.3722936,8614612,
-71.1371944,42.3723222,8614612,
-71.1371469,42.3723568,8614612,
-71.1370996,42.3724017,8614612,
-71.1370578,42.3724574,8614612,
-71.1370155,42.3725226,8614612,
-71.1369668,42.372601,8614612,
-71.1368834,42.3727589,8614612,
-71.097547,42.369327,8614614,
-71.097226,42.369114,8614614,
-71.096836,42.368819,8614614,
-71.096099,42.368342,8614614,
-71.096077,42.368327,8614614,
-71.095691,42.368055,8614614,
-71.095325,42.367791,8614614,
-71.095194,42.367721,8614614,
-71.094676,42.367327,8614614,
-71.094033,42.366922,8614614,
-71.093533,42.366538,8614614,
-71.0935366,42.366487,8614614,
-71.0935553,42.36638,8614614,
-71.104793,42.370817,8614863,
-71.1046805,42.3708639,8614863,
-71.1043353,42.3712735,8614863,
-71.1042865,42.3713298,8614863,
-71.103951,42.371717,8614863,
-71.103196,42.372588,8614863,
-71.1029847,42.3728458,8614863,
-71.102696,42.3731759,8614863,
-71.1021266,42.3738099,8614863,
