X,Y,id
-71.0937,42.37425,8604746
-71.0755,42.37052,8604813
-71.0759,42.37079,8604813
-71.0759,42.37080,8604813
-71.0755,42.37054,8604813
-71.0784,42.37197,8604813
-71.0994,42.37654,8605310
-71.0955,42.36104,8614574
-71.0953,42.36242,8614574
-71.0952,42.36309,8614574
-71.1055,42.37321,8614603
-71.1055,42.37323,8614603
-71.1275,42.37679,8614607
-71.0951,42.36770,8614614
-71.0975,42.36932,8614614
-71.0939,42.36688,8614614
-71.0946,42.36734,8614614
-71.1196,42.37624,8614620
-71.1197,42.37645,8614620
-71.1031,42.36636,8614857
-71.1039,42.36684,8614857
-71.1009,42.35948,8614859
-71.1047,42.37081,8614863
-71.1030,42.37285,8614863
-71.1047,42.37082,8614863
-71.1021,42.37388,8614863
-71.1392,42.37487,8614897
-71.1384,42.37480,8614897
-71.1140,42.36719,8614899
-71.1108,42.37319,8614901
-71.1114,42.37231,8614901
-71.1120,42.37145,8614901
-71.1129,42.37011,8614901
-71.1129,42.37011,8614901
-71.1116,42.35477,8614906
-71.1131,42.35560,8614906
-71.1084,42.35351,8614910
-71.1004,42.35479,8614910
-71.1036,42.35382,8614910
-71.1071,42.35345,8614910
-71.1195,42.37562,8614915
-71.1194,42.37574,8614915
-71.1199,42.37553,8614915
-71.1103,42.35400,8614937
-71.1103,42.35410,8614937
-71.1105,42.35452,8614937
-71.1104,42.35438,8614937
-71.1109,42.35464,8614937
-71.1176,42.37175,8614944
-71.1171,42.37288,8614944
-71.1176,42.37166,8614944
-71.1105,42.36207,8614949
-71.1081,42.35952,8614961
-71.1076,42.36003,8614961
-71.1088,42.35895,8614961
-71.1095,42.35827,8614961
-71.1071,42.36045,8614961
-71.1055,42.36198,8614961
-71.1067,42.36083,8614961
-71.1060,42.36146,8614961
-71.1049,42.36248,8614961
-71.1111,42.35680,8614961
-71.1037,42.36362,8614961
-71.1120,42.35598,8614961
-71.1103,42.35753,8614961
-71.1024,42.36035,8614965
-71.1033,42.36087,8614965
-71.0913,42.36940,8614979
-71.1042,42.35886,8614980
-71.1042,42.35886,8614980
-71.1031,42.35819,8614980
-71.1142,42.37205,8614984
-71.1134,42.37535,8614984
-71.1114,42.36723,8614985
-71.1110,42.36708,8614985
-71.0945,42.36630,8614986
-71.0996,42.37275,8614993
-71.0798,42.36821,8614998
-71.0792,42.36813,8614998
-71.0821,42.36850,8614998
-71.0805,42.36830,8614998
-71.1005,42.37352,8614999
-71.0968,42.37047,8614999
-71.0947,42.36876,8614999
-71.0911,42.36542,8614999
-71.0981,42.37148,8614999
-71.0931,42.36744,8614999
-71.0955,42.36935,8614999
-71.0937,42.36794,8614999
-71.0923,42.36677,8614999
-71.1005,42.37346,8614999
-71.0911,42.36544,8614999
-71.1032,42.36968,8615019
-71.1029,42.37007,8615019
-71.1244,42.37596,8615037
-71.1221,42.37653,8615037
-71.1235,42.37619,8615037
-71.1126,42.36287,8615044
-71.1097,42.35946,8615057
-71.0821,42.37205,8615059
-71.1064,42.37067,8615067
-71.1064,42.37067,8615067
-71.0838,42.36032,8615075
-71.0843,42.36103,8615075
-71.0839,42.36043,8615075
-71.1034,42.37456,8615076
-71.1072,42.37808,8615076
-71.0933,42.37,8615077
-71.0913,42.36940,8615077
-71.1199,42.37363,8615078
-71.0947,42.35669,8615096
-71.0950,42.35721,8615096
-71.0948,42.35681,8615096
-71.1101,42.35412,8615109
-71.1054,42.37012,8615111
-71.1058,42.36971,8615111
-71.1076,42.36786,8615111
-71.1030,42.35987,8615112
-71.1044,42.36071,8615112
-71.1102,42.36898,8615119
-71.1088,42.36833,8615119
-71.1066,42.36721,8615119
-71.1126,42.36983,8615119
-71.1125,42.36110,8615124
-71.1120,42.36079,8615124
-71.1134,42.36168,8615124
-71.1124,42.35789,8615126
-71.1105,42.35347,8615130
-71.1389,42.37322,8615137
-71.0969,42.36669,8615140
-71.0957,42.36619,8615140
-71.1012,42.36812,8615140
-71.0996,42.36759,8615140
-71.1017,42.36829,8615140
-71.0835,42.36388,8615161
-71.0847,42.36439,8615161
-71.1147,42.36775,8615162
-71.1098,42.36026,8615168
-71.0816,42.37052,8615169
-71.0849,42.37094,8615169
-71.0800,42.37031,8615169
-71.1040,42.36109,8615171
-71.1305,42.37512,8615179
-71.0811,42.37260,8615184
-71.0798,42.37253,8615184
-71.1201,42.37257,8615186
-71.1200,42.37267,8615186
-71.1066,42.35861,8615190
-71.1096,42.36040,8615190
-71.1108,42.36177,8615274
-71.1092,42.36075,8615274
-71.0967,42.36320,8615280
-71.0967,42.36251,8615280
-71.0796,42.36609,8615283
-71.0801,42.36408,8615283
-71.0785,42.37084,8615283
-71.0785,42.37085,8615283
-71.0800,42.36474,8615283
-71.0994,42.36784,8615284
-71.0915,42.36916,8615286
-71.1045,42.37018,8615288
-71.1044,42.37031,8615288
-71.1146,42.36873,8615294
-71.1170,42.36935,8615294
-71.0819,42.36638,8615295
-71.0815,42.36722,8615295
-71.0803,42.36896,8615295
-71.0794,42.37234,8615295
-71.0801,42.36964,8615295
-71.0798,42.37101,8615295
-71.0796,42.37174,8615295
-71.0855,42.36824,8615300
-71.0858,42.36686,8615300
-71.0917,42.36875,8615335
-71.1072,42.35807,8615341
-71.1079,42.35736,8615341
-71.1102,42.35513,8615341
-71.1095,42.35586,8615341
-71.1050,42.36019,8615341
-71.1035,42.36163,8615341
-71.1024,42.36286,8615341
-71.1087,42.35660,8615341
-71.1066,42.35773,8615343
-71.1073,42.35701,8615343
-71.0858,42.37037,8615357
-71.0855,42.37174,8615357
-71.0914,42.37401,8615358
-71.0918,42.37256,8615358
-71.1315,42.37582,8615361
-71.1324,42.37586,8615361
-71.1127,42.36014,8615363
-71.1097,42.36274,8615363
-71.1120,42.36079,8615363
-71.1086,42.36368,8615363
-71.1248,42.3732,8615366
-71.1040,42.36189,8615367
-71.0991,42.37350,8615369
-71.1235,42.37625,8615372
-71.1243,42.37704,8615372
-71.1239,42.37723,8615372
-71.1003,42.36649,8615377
-71.0846,42.36098,8615381
-71.0876,42.35998,8615381
-71.0949,42.37034,8615384
-71.1110,42.36773,8615388
-71.1008,42.36372,8615390
-71.1008,42.36373,8615390
-71.0925,42.36732,8615406
-71.0843,42.36270,8615409
-71.0923,42.37169,8615410
-71.0935,42.37206,8615410
-71.1040,42.36557,8615411
-71.1033,42.36620,8615411
-71.1039,42.36562,8615411
-71.1011,42.36390,8615413
-71.1011,42.36392,8615413
-71.1301,42.37786,8615418
-71.0949,42.36133,8615419
-71.0960,42.36082,8615419
-71.0920,42.36283,8615419
-71.0797,42.36609,8615421
-71.1135,42.36872,8615424
-71.1146,42.36873,8615424
-71.1130,42.35910,8615430
-71.1075,42.35589,8615430
-71.1110,42.35793,8615430
-71.1135,42.35941,8615430
-71.1118,42.35841,8615430
-71.1095,42.35709,8615430
-71.1068,42.37161,8615445
-71.1175,42.37592,8615454
-71.1185,42.37541,8615454
-71.1188,42.37394,8615456
-71.1186,42.37338,8615456
-71.1160,42.37254,8615456
-71.1157,42.37232,8615456
-71.1188,42.37408,8615456
-71.1183,42.37327,8615456
-71.1176,42.37306,8615456
-71.1188,42.37366,8615456
-71.1188,42.37381,8615456
-71.0947,42.36876,8615457
-71.0917,42.36876,8615457
-71.0931,42.36907,8615457
-71.1087,42.36838,8615458
-71.1099,42.36723,8615458
-71.0851,42.36228,8615466
-71.1108,42.37111,8615470
-71.1096,42.37277,8615470
-71.1083,42.37469,8615470
-71.1102,42.37187,8615470
-71.1118,42.36958,8615470
-71.1041,42.36916,8615472
-71.1017,42.36830,8615472
-71.1063,42.35522,8615475
-71.1051,42.35717,8615483
-71.1053,42.35700,8615483
-71.1034,42.36779,8615488
-71.1206,42.37787,8615489
-71.1222,42.37745,8615489
-71.1227,42.37731,8615489
-71.1196,42.37668,8615493
-71.1193,42.37639,8615493
-71.0898,42.36275,8615495
-71.0898,42.36268,8615495
-71.1141,42.37095,8615500
-71.1129,42.35737,8615502
-71.1002,42.36155,8615512
-71.1008,42.36100,8615512
-71.1006,42.36115,8615512
-71.1187,42.37509,8615534
-71.1189,42.37510,8615534
-71.1187,42.37509,8615534
-71.1191,42.37511,8615534
-71.1094,42.35485,8615547
-71.1347,42.36991,8615548
-71.0991,42.35596,8615550
-71.1025,42.35483,8615550
-71.1350,42.36899,8615551
-71.1349,42.36913,8615551
-71.0988,42.35547,8615556
-71.1196,42.37176,8615560
-71.1083,42.35481,8615561
-71.1084,42.35468,8615561
-71.1086,42.35420,8615561
-71.1141,42.36620,8615563
-71.0996,42.37356,8615573
-71.1005,42.37368,8615585
-71.0871,42.36190,8615620
-71.0870,42.36243,8615620
-71.1289,42.37581,8615621
-71.1283,42.37718,8615621
-71.1169,42.37159,8615630
-71.1185,42.37196,8615630
-71.1183,42.37192,8615630
-71.0891,42.36703,8615635
-71.0909,42.36774,8615635
-71.0897,42.36733,8615635
-71.0903,42.36754,8615635
-71.0882,42.36659,8615635
